date,state,positive
2020-01-19,WA,1
2020-01-20,WA,1
2020-01-21,WA,2
2020-01-22,WA,2
2020-01-23,WA,2
2020-01-24,WA,2
2020-01-25,WA,2
2020-01-26,WA,2
2020-01-27,WA,2
2020-01-28,WA,2
2020-01-29,WA,2
2020-01-30,WA,2
2020-01-31,WA,2
2020-02-01,WA,2
2020-02-02,WA,2
2020-02-03,WA,3
2020-02-04,WA,3
2020-02-05,WA,3
2020-02-06,WA,5
2020-02-07,WA,5
2020-02-08,WA,5
2020-02-09,WA,5
2020-02-10,WA,5
2020-02-11,WA,5
2020-02-12,WA,5
2020-02-13,WA,6
2020-02-14,WA,7
2020-02-15,WA,7
2020-02-16,WA,7
2020-02-17,WA,7
2020-02-18,WA,7
2020-02-19,WA,7
2020-02-20,WA,7
2020-02-21,WA,7
2020-02-22,WA,7
2020-02-23,WA,8
2020-02-24,WA,9
2020-02-25,WA,10
2020-02-26,WA,12
2020-02-27,WA,13
2020-02-28,WA,15
2020-02-29,WA,18
2020-03-01,WA,26
2020-03-01,RI,2
2020-03-01,MI,14
2020-03-02,WA,43
2020-03-02,RI,2
2020-03-02,MI,27
2020-03-03,WA,59
2020-03-03,RI,2
2020-03-03,NY,1
2020-03-03,MI,50
2020-03-03,FL,2
2020-03-04,WI,1
2020-03-04,WA,93
2020-03-04,RI,2
2020-03-04,NY,1
2020-03-04,NH,2
2020-03-04,NC,1
2020-03-04,MI,74
2020-03-04,IL,4
2020-03-04,GA,2
2020-03-04,FL,3
2020-03-04,CO,2
2020-03-04,CA,53
2020-03-04,AZ,2
2020-03-05,WI,1
2020-03-05,WA,117
2020-03-05,TN,1
2020-03-05,RI,3
2020-03-05,OR,3
2020-03-05,NY,3
2020-03-05,NV,1
2020-03-05,NJ,2
2020-03-05,NH,2
2020-03-05,NC,1
2020-03-05,MI,100
2020-03-05,IL,5
2020-03-05,GA,2
2020-03-05,FL,7
2020-03-05,CO,2
2020-03-05,CA,53
2020-03-05,AZ,2
2020-03-06,WI,1
2020-03-06,WA,155
2020-03-06,TX,5
2020-03-06,TN,1
2020-03-06,RI,3
2020-03-06,PA,2
2020-03-06,OR,3
2020-03-06,NY,25
2020-03-06,NV,3
